,0,1
0,0.9999833,1.6729893e-05
1,0.9999964,3.5293344e-06
2,0.9999784,2.154309e-05
3,0.999705,0.000294965
4,0.99991584,8.4142586e-05
5,0.9998147,0.00018528456
6,0.9993125,0.00068747764
7,0.99995685,4.312589e-05
8,0.99998677,1.3213899e-05
9,0.9999968,3.2114078e-06
10,0.9999945,5.449055e-06
11,0.99963784,0.00036210025
12,0.9998739,0.00012615527
13,0.9999541,4.5931978e-05
14,0.9999988,1.2363241e-06
15,0.9999982,1.7686441e-06
16,0.9999963,3.6765232e-06
17,0.9999951,4.8397865e-06
18,0.9999902,9.753922e-06
19,0.99999297,7.057397e-06
20,0.99998736,1.262314e-05
21,0.99999535,4.7050994e-06
22,0.9999964,3.5430128e-06
23,0.9999957,4.260461e-06
24,0.9999912,8.764824e-06
25,0.99999774,2.2067368e-06
26,0.99999774,2.3021328e-06
27,0.9999931,6.8604973e-06
28,0.99999905,1.0061048e-06
29,0.99999905,9.488082e-07
30,0.9999958,4.1567027e-06
31,0.99980396,0.00019602297
32,0.99997306,2.6998974e-05
33,0.99977046,0.00022956275
34,0.9999964,3.6330082e-06
35,0.98859465,0.011405331
36,0.9999876,1.2434693e-05
37,0.93544567,0.06455435
38,0.97113854,0.028861484
39,0.99999523,4.8112047e-06
40,0.99972314,0.00027684437
41,0.9996177,0.00038224453
42,0.9995308,0.00046927796
43,0.9979873,0.0020127278
44,0.98457503,0.0154249435
45,0.989219,0.0107809305
46,0.8448543,0.1551457
47,0.99981076,0.0001892845
48,0.99991703,8.290543e-05
49,0.7679806,0.23201942
50,0.98744744,0.012552597
51,0.9985977,0.0014022626
52,0.99068856,0.009311451
53,0.9933809,0.0066191545
54,0.99623173,0.003768284
55,0.9925403,0.007459676
56,0.99951494,0.0004851161
57,0.9994974,0.00050253165
58,0.99997854,2.1460824e-05
59,0.9997515,0.000248529
60,0.9987451,0.0012549141
61,0.99840075,0.0015992093
62,0.99859256,0.0014074201
63,0.99901307,0.0009868653
64,0.99962926,0.00037073068
65,0.99999785,2.1634091e-06
66,0.9952467,0.004753316
67,0.9982957,0.0017043364
68,0.99957794,0.00042207394
69,0.9763337,0.023666358
70,0.86765975,0.13234028
71,0.9885102,0.0114898905
72,0.99963164,0.0003683731
73,0.9999989,1.0202881e-06
74,0.9999908,9.177126e-06
75,0.9997085,0.0002915073
76,0.9999995,4.890075e-07
77,0.9999968,3.2405608e-06
78,0.999974,2.5966838e-05
79,0.99996364,3.6348873e-05
80,0.9999225,7.7498415e-05
81,0.9996086,0.00039142976
82,0.9999987,1.3507224e-06
83,0.99922705,0.0007729322
